Title,Rating,Popularity,Budget,Gross Worldwide,URL,Runtime_minutes,ROI,Director_main,Writer_main,Star_main,Genre_main
Taurul furios,8.1,1042.0,18000000.0,23406558.0,https://www.imdb.com/title/tt0081398/,129,1.3003643333333332,Martin Scorsese,Jake LaMotta,Robert De Niro,Boxing
Universitatea monștrilor,7.2,1528.0,200000000.0,743559645.0,https://www.imdb.com/title/tt1453405/,104,3.717798225,Dan Scanlon,Dan Scanlon,Billy Crystal,Buddy Comedy
O noapte la muzeu,6.5,1382.0,110000000.0,574482479.0,https://www.imdb.com/title/tt0477347/,108,5.2225679909090905,Shawn Levy,Robert Ben Garant,Ben Stiller,High-Concept Comedy
Sapte suflete,7.6,1267.0,55000000.0,169748929.0,https://www.imdb.com/title/tt0814314/,123,3.0863441636363635,Gabriele Muccino,Grant Nieporte,Will Smith,Tragedy
Vânătorul de cerbi,8.1,903.0,15000000.0,49080312.0,https://www.imdb.com/title/tt0077416/,183,3.2720208,Michael Cimino,Michael Cimino,Robert De Niro,Epic
Misiune Imposibilă: Națiunea Rebelă,7.4,1563.0,150000000.0,710916403.0,https://www.imdb.com/title/tt2381249/,131,4.739442686666667,Christopher McQuarrie,Bruce Geller,Tom Cruise,Globetrotting Adventure
Inamicii publici,6.9,1907.0,100000000.0,214104620.0,https://www.imdb.com/title/tt1152836/,140,2.1410462,Michael Mann,Ronan Bennett,Christian Bale,Docudrama
Înfruntarea titanilor,5.8,2884.0,125000000.0,493214993.0,https://www.imdb.com/title/tt0800320/,106,3.945719944,Louis Leterrier,Travis Beacham,Sam Worthington,Action Epic
Cei șapte samurai,8.6,933.0,787500.0,1092319.0,https://www.imdb.com/title/tt0047478/,207,1.387071746031746,Akira Kurosawa,Akira Kurosawa,Toshirô Mifune,Japanese
The Equalizer,7.3,801.0,55000000.0,192330738.0,https://www.imdb.com/title/tt0455944/,132,3.496922509090909,Antoine Fuqua,Richard Wenk,Denzel Washington,One-Person Army Action
Mostenirea lui Bourne,6.6,2639.0,125000000.0,276144750.0,https://www.imdb.com/title/tt1194173/,135,2.209158,Tony Gilroy,Tony Gilroy,Jeremy Renner,Globetrotting Adventure
Alba ca Zapada si Razboinicul Vanator,6.1,4442.0,170000000.0,396592829.0,https://www.imdb.com/title/tt1735898/,127,2.332898994117647,Rupert Sanders,Evan Daugherty,Kristen Stewart,Fairy Tale
Vrei să te însori cu mine?,6.8,1366.0,40000000.0,317375937.0,https://www.imdb.com/title/tt1041829/,108,7.934398425,Anne Fletcher,Peter Chiarelli,Sandra Bullock,Feel-Good Romance
Cu ochii larg inchisi,7.5,363.0,65000000.0,162496398.0,https://www.imdb.com/title/tt0120663/,159,2.4999445846153847,Stanley Kubrick,Stanley Kubrick,Tom Cruise,Erotic Thriller
Cartea lui Eli,6.8,1929.0,80000000.0,157107755.0,https://www.imdb.com/title/tt1037705/,118,1.9638469375,Albert Hughes,Gary Whitta,Denzel Washington,Action Epic
Jack Reacher. Un glont la tinta,7.0,1051.0,60000000.0,218340595.0,https://www.imdb.com/title/tt0790724/,130,3.6390099166666667,Christopher McQuarrie,Lee Child,Tom Cruise,Conspiracy Thriller
Avionul condamnatilor,6.9,1145.0,75000000.0,224012234.0,https://www.imdb.com/title/tt0118880/,115,2.9868297866666667,Simon West,Scott Rosenberg,Colm Meaney,Dark Comedy
Donnie Brasco,7.7,1624.0,35000000.0,124909762.0,https://www.imdb.com/title/tt0119008/,127,3.568850342857143,Mike Newell,Joseph D. Pistone,Al Pacino,Docudrama
300: Ascensiunea unui imperiu,6.2,2765.0,110000000.0,337580051.0,https://www.imdb.com/title/tt1253863/,102,3.0689095545454546,Noam Murro,Zack Snyder,Sullivan Stapleton,Action Epic
"O Frate, Unde Esti Tu?",7.7,1106.0,26000000.0,71877090.0,https://www.imdb.com/title/tt0190590/,107,2.7645034615384616,Joel Coen,Homer,George Clooney,Adventure Epic
Mai bine nu se poate,7.7,913.0,50000000.0,314178011.0,https://www.imdb.com/title/tt0119822/,139,6.28356022,James L. Brooks,Mark Andrus,Jack Nicholson,Romantic Comedy
Moulin Rouge!,7.6,1689.0,50000000.0,184935252.0,https://www.imdb.com/title/tt0203009/,127,3.69870504,Baz Luhrmann,Baz Luhrmann,Nicole Kidman,Jukebox Musical
Green Lantern 3D: Protectorul Universului,5.5,4028.0,200000000.0,237201172.0,https://www.imdb.com/title/tt1133985/,114,1.18600586,Martin Campbell,Greg Berlanti,Ryan Reynolds,Superhero
Marea mahmureala 3,5.9,2974.0,103000000.0,362000072.0,https://www.imdb.com/title/tt1951261/,100,3.514563805825243,Todd Phillips,Todd Phillips,Bradley Cooper,Dark Comedy
Povestea unui campion,7.6,1334.0,29000000.0,309231694.0,https://www.imdb.com/title/tt0878804/,129,10.663161862068966,John Lee Hancock,John Lee Hancock,Quinton Aaron,Docudrama
Prinţul Persiei: Nisipurile timpului,6.5,2924.0,200000000.0,336365676.0,https://www.imdb.com/title/tt0473075/,116,1.68182838,Mike Newell,Boaz Yakin,Jake Gyllenhaal,Action Epic
Scream: Țipi sau fugi!,7.4,51.0,14000000.0,173046663.0,https://www.imdb.com/title/tt0117571/,111,12.360475928571429,Wes Craven,Kevin Williamson,Drew Barrymore,Dark Comedy
Coșmar înainte de Crăciun,7.9,120.0,18000000.0,108217761.0,https://www.imdb.com/title/tt0107688/,76,6.012097833333334,Henry Selick,Tim Burton,Danny Elfman,Dark Comedy
10 lucruri nu-mi plac la tine,7.4,400.0,30000000.0,53683812.0,https://www.imdb.com/title/tt0147800/,97,1.7894604,Gil Junger,Karen McCullah,Heath Ledger,Coming-of-Age
Infanteria stelara,7.3,660.0,105000000.0,121214377.0,https://www.imdb.com/title/tt0120201/,129,1.154422638095238,Paul Verhoeven,Edward Neumeier,Casper Van Dien,Alien Invasion
Prințesa Mononoke,8.3,1062.0,15120000.0,25887638.0,https://www.imdb.com/title/tt0119698/,133,1.7121453703703704,Hayao Miyazaki,Hayao Miyazaki,Yôji Matsuda,Japanese
Saga Amurg: Lunã Nouã,4.8,1385.0,50000000.0,711516904.0,https://www.imdb.com/title/tt1259571/,130,14.23033808,Chris Weitz,Melissa Rosenberg,Kristen Stewart,Supernatural Fantasy
A fost odată în America,8.3,659.0,30000000.0,5476126.0,https://www.imdb.com/title/tt0087843/,229,0.18253753333333333,Sergio Leone,Harry Grey,Robert De Niro,Dark Comedy
Cum sa iti dresezi dragonul 2,7.8,1386.0,145000000.0,621537519.0,https://www.imdb.com/title/tt1646971/,102,4.286465648275862,Dean DeBlois,Dean DeBlois,Jay Baruchel,Action Epic
Gattaca,7.7,1349.0,36000000.0,12533963.0,https://www.imdb.com/title/tt0119177/,106,0.3481656388888889,Andrew Niccol,Andrew Niccol,Ethan Hawke,Dystopian Sci-Fi
Negura,7.1,807.0,18000000.0,57470220.0,https://www.imdb.com/title/tt0884328/,126,3.19279,Frank Darabont,Frank Darabont,Thomas Jane,Body Horror
Mincinosul mincinosilor,6.9,2081.0,45000000.0,302710615.0,https://www.imdb.com/title/tt0119528/,86,6.726902555555555,Tom Shadyac,Paul Guay,Jim Carrey,High-Concept Comedy
"La nord, prin nord-vest",8.3,1779.0,3101000.0,198390.0,https://www.imdb.com/title/tt0053125/,136,0.06397613673008706,Alfred Hitchcock,Ernest Lehman,Cary Grant,Spy
